Aadhaar ID name,Gender,Pet Name,Location,Colour/Pattern,Description,Collar colour/type,Neutering status,Date of latest vaccination,Pictures,Date of Survery (29/03/26),(12/04/26),Image Links
Dog 1,Male,-,Tulita,chocolate brown,"pointy ears,timid, black snout",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/11E-G7xjR2x4KeZ9kkPAF8XZUz3bUoMUN?usp=sharing,spotted,-,https://drive.google.com/file/d/1VgSo72Ax76eegF2jDiUAN1wX0zXKn7Ht/view?usp=sharing
Dog 2,Female,Dora,Tulita,Tan with white patches,"Black snout, dark eye rims,pointy ears",red collar (without QR),neutered,mid of December,https://drive.google.com/drive/folders/1ur0-7OGNDkR4qf-qKy-sdNufkpLWuqXT?usp=sharing,spotted,-,https://drive.google.com/file/d/1tcTHC4BKeCcJlS7wmTrdU3FaD2JjO7Z7/view?usp=sharing
Dog 3,Male,-,Faculty residence,Light brown,"Old, with some facial scarring",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1_CyHsrHpj6Vs_8bvIcl8dEtyvAHfzfO7?usp=sharing,not spotted,spotted,
Dog 4,Female,Chitti,C Block,Cream,"Pink nose, flop ears",red collar (with QR),non neutered,mid of December,https://drive.google.com/drive/folders/1InfgLqExm4gwDpBec5fuPorj7FiQdhly?usp=sharing,spotted,-,https://drive.google.com/file/d/1tDD55GqsjwMUlusi11FUarlQJZvaacE5/view?usp=sharing https://drive.google.com/file/d/1wMk4rS7a_3qk1mO2AqOoqoD5H0Ul8426/view?usp=sharing 
Dog 5,Male,Stubby,C Block,Brown,"Stubbed tail, floppy ears",blue collar (with QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1AAWefv6-QmG63Q6JElwiUqyjFT3dU3sG?usp=sharing,spotted,-,https://drive.google.com/file/d/1ySaFVIkEd5FXB5RF5hRgQXIEXhgnddQL/view?usp=sharing https://drive.google.com/file/d/1PbIKQGzW3oip9bMXHJ4dm9JQTZgjEndV/view?usp=sharing 
Dog 6,Male,-,Research block,Brown,"Curled tail, dark muzzle, muscular build",blue collar (with QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1bucBukRhQpK4OQzj76RfkeW_hWk6wWLx?usp=sharing,spotted,-,https://drive.google.com/file/d/1z-6xuQfUXDAt-rpH0Xf3ZWucJzPAGrbj/view?usp=sharing  https://drive.google.com/file/d/1ZPvpulPRVeZZ5AUmnrBsTuI6fN5G4gmP/view?usp=sharing 
Dog 7,Female,Jumpy,Wellness clinic,Cream with light brown patches,"very jumpy, always covered in dirt",red collar (with OR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1YlxiTawVnIJzC5ZNnWwkjcXxT5v0TT8F?usp=sharing,spotted,-,https://drive.google.com/file/d/1nfwV4LHxmjeaCnYrTlcopfdCi0sP2ql-/view?usp=sharing 
Dog 8,Male,,Research Block,Tan," Pup, Pointy ears",blue collar (without QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1Ged22D0E3Txdm8-uvzbANL87qqsQqULP?usp=sharing,spotted,-,https://drive.google.com/file/d/17aJiyUomQdJaIKDJQFFZ4DTxsY7GN3F4/view?usp=sharing https://drive.google.com/file/d/1lzC-WUFYrgrNZe5dmjP58LdamOK5Cbp1/view?usp=sharing https://drive.google.com/file/d/1gSELAgyRWUq1_lFaTG7qUwYdMMETv7Q9/view?usp=sharing 
Dog 9,Female,-,Research block,Cream,"pup, pointy ears, with scarring under left front limb",red collar(without QR),non neutered,not vaccinated,https://drive.google.com/drive/folders/1Q9IQutEe7hI1s4U5c_HeSAvM7E2bWX_g?usp=sharing,spotted,-,https://drive.google.com/file/d/1Vv8H-nhBcja5P0OI_cK6HMj13oVGNBEe/view?usp=sharing https://drive.google.com/file/d/1iAN-XB5kHlrPe5tDRx7TdbQupSTPyoxw/view?usp=sharing 
Dog 10,Male,,Guest house,Brown,Scars along the Spine,red collar (without QR),neutered,vaccinated,https://drive.google.com/drive/folders/1BvwMG72uejQsIc7Mots7G47apcRspUcm?usp=sharing,spotted,-,https://drive.google.com/file/d/1acTlEGb9W2W22tToa28Aq_pNM9zOTQPj/view?usp=sharing https://drive.google.com/file/d/1lIVaIrg1ZGsNy4ZqEZkRjdQ20TZ07Bmd/view?usp=sharing https://drive.google.com/file/d/1hJMnUY5oYNaDuVt0HpeAZdiCwHlVvrDg/view?usp=sharing https://drive.google.com/file/d/1WmNfiNPJIy1J7USEQlFYNNrjkg1kGMPs/view?usp=sharing 
Dog 11,Female,crema?,Guest house,Cream,"Pointy ears, curled tail",dark green (without QR),neutered,vaccinated,https://drive.google.com/drive/folders/1r0eNrGZ4GBRz_e7IKnUA0bP2s8aeRl-N?usp=sharing,spotted,-,https://drive.google.com/file/d/13np-8Ibt24w3AkqMpcB4eaQNkwpaK1qz/view?usp=sharing 
Dog 12,Male,socsac,Dining block,Brown,"Old, floppy ears",black(with QR),neutered,not vaccinated,https://drive.google.com/drive/folders/1EPPL9I1XrxzbSyFz3tTqPmyBa0D7i2yE?usp=sharing,spotted,-,https://drive.google.com/file/d/1ok92XFP5UiAAwhEFbSalC4vo5kJykTFh/view?usp=sharing https://drive.google.com/file/d/1urn5Dl6NeL8FudxQn9Z46pf9Sqi6Ioiu/view?usp=sharing 
Dog 13,Male,,Dining block,"White, with brown patches","Young adult, floppy ears",no collar,non neutered,vaccinated,https://drive.google.com/drive/folders/153Blfy-0I94fCKGLCSJSaa98fJGTlv54?usp=sharing,spotted,-,https://drive.google.com/file/d/1d8j7V_2vJixxgabQDHYyD1kpaonuNzhQ/view?usp=sharing 
Dog 14,,,Dining block,"white, black face",young adult,blue collar(with QR),non neutered,vaccinated,https://drive.google.com/drive/folders/1lUU7lIEfqVEmRidM0b_Ra40s2oTrlnf0?usp=sharing,spotted,-,https://drive.google.com/file/d/1a92xOVEAXZ1AhwWDHk8kNReBiQMl5dwh/view?usp=sharing 
Dog 15,Female,,Dining block,Brown,"old, plump, chipped ear",black(with QR),neutered,not vaccinated,https://drive.google.com/drive/folders/1jXT9EaULujivFXVe12dsBDzxpVU18kgB?usp=sharing,spotted,-,https://drive.google.com/file/d/1cp9XlR1FoQKPJMjPdX9eaCOwmNYsNF4_/view?usp=sharing https://drive.google.com/file/d/1upjk5Vq99orxxTRIGy3dPv4KvGCg3Mha/view?usp=sharing https://drive.google.com/file/d/1cEfd3P483KnFFPhLhX_SCV7QxGqAX9va/view?usp=sharing 
Dog 16,Female,,Dining block,Brown,"young adult, white tipped tail and paws ",blue(with QR),non neutered,vaccinated,https://drive.google.com/drive/folders/1nvn3aR3fqyrmdru0HXR9T4AoJsdtzQW6?usp=sharing,spotted,-,https://drive.google.com/file/d/1vdQCwQBZdyBUq_3294P2422xTCU0UOjN/view?usp=sharing https://drive.google.com/file/d/16i2bEtIaZizjWI_O4_48kdnDby2JcOhA/view?usp=sharing 
Dog 17,,,Dining block,white with brown spots,"young adult, spotted",,non neutered,vaccinated,,not spotted,-,
Dog 18,Female,,Dining block,White,"thin, pointy ears",black(with QR),neutered,not vaccinated,,not spotted,-,
Dog 19,Male,,Faculty residence,Brown,"pink nose, pointy ears , short, chubby",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1ZeiJsw88nfAjNrdEpkWpjkF_72_phtMo?usp=sharing,-,spotted,https://drive.google.com/file/d/1ML_UtJuUnBvyCaf77f1Uc0gJqP3nSfDj/view?usp=sharing https://drive.google.com/file/d/1o-xRk_WVQgtC7ZfLlmziQEx29EdyBgID/view?usp=sharing https://drive.google.com/file/d/1-sO-5MKWHfNV_PecwZbU5DSLdwYLdmYI/view?usp=sharing 
Dog 20,Female,,Faculty residence,white with cream patches,"tall, black nose",,neutered,not vaccinated,https://drive.google.com/drive/folders/11gor5PYKgRSLY1aOhAsg_7Kwim3DMkP8?usp=sharing,-,spotted,https://drive.google.com/file/d/19kl1VDjdtS5nqCFlg-Vbkp4WehDpDt3o/view?usp=sharing 
Dog 21,Male,,Faculty residence,Black,"solid black, pointy ears",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1JPo70iUN6QUcT6dhzPligAHASztDi4Q1?usp=sharing,-,spotted,https://drive.google.com/file/d/1FgkCI8rEmwVP2N9ZZZKTeOjXNoE5qPht/view?usp=sharing https://drive.google.com/file/d/1W5ima6uwzR801pxCn47MKt9F8JdX0XUY/view?usp=sharing 
Dog 22,Female,,Faculty residence,brown,"pup, pointy ears, jet black eyes and nose",no collar,non neutered,not vaccinated,,-,spotted,https://drive.google.com/file/d/13eGI4jTwxs_iuN3r2sNQ4HAOWEe5OuQz/view?usp=sharing https://drive.google.com/file/d/1I3LlZg2ZzllzUW1ISHljqEaCsMmziIKS/view?usp=sharing https://drive.google.com/file/d/17KnNJO5j4PpMQk_gL01mpvqs1lZQfRC7/view?usp=sharing 
Dog 23,Female,,Faculty residence,Brown,"pup, very thin",no collar,non neutered,not vaccinated,,-,spotted,https://drive.google.com/file/d/1t9ckUEGY3snin4ZT46hEhAUq-ffMafcd/view?usp=sharing https://drive.google.com/file/d/17HTLb9KQBoXpyZxyqeu9oI7BHE2D2P8V/view?usp=sharing 
Dog 24,,,,,,,,,,,,https://drive.google.com/file/d/13EP7GiFR049eP_3NlKZS9rMuiLKVpAIJ/view?usp=sharing https://drive.google.com/file/d/1iz2LAafLPSKog-_gvHF51RMthp0SOBnG/view?usp=sharing https://drive.google.com/file/d/1XCZe_1JdTVIMQm5FUjgCH1_CkWxB7tmh/view?usp=sharing https://drive.google.com/file/d/1bEdmsdF32l-fi93edhdCQodnJbc4N9J_/view?usp=sharing 
Dog 25,,,B block kitchen,White with brown patches,"pup, floppy brown ears",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1l1BXciykkMaIWylHWi7E_hXTaQCGpZ04?usp=sharing,,,https://drive.google.com/file/d/1Y2k0ytrTN1ztV-k96w9rQ67Jl4Q6PflL/view?usp=sharing https://drive.google.com/file/d/15A5gH0aOr5xS9O2Umq37LM3yCZ1GiIy7/view?usp=sharing 
Dog 26,,,B block kitchen,Brown,"Brown pup, white feet, black snout with white muzzle, white collar patch",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1OA8hgn3B-r-5oJEtMZWCKp-7xOAWx9WY?usp=sharing,,,https://drive.google.com/file/d/1_9FYAR-QZlUuUQpOFf0hNfchuhPffac_/view?usp=sharing https://drive.google.com/file/d/1aIHdUC4QFvfEnAJbTND_VU-5zI9__7kY/view?usp=sharing https://drive.google.com/file/d/1C5C7FtsalgzX8om7V_q7Z044y5v3SxcU/view?usp=sharing 
Dog 27,,,B block kitchen,White with brown patches,"white pup, pointy ears, brown fur surrounding the eyes",no collar,non neutered,not vaccinated,https://drive.google.com/drive/folders/1cjpxGPt36H8b_HiU70i4AZjqpumbVSXD?usp=sharing,,,https://drive.google.com/file/d/1lYGcg9Vhz7z82FKiR3WUjsrNIzY2bKhk/view?usp=sharing https://drive.google.com/file/d/1-Y6X_0TDLJsYQbqooGYheaivJ6wfYMWw/view?usp=sharing https://drive.google.com/file/d/1LGhu9jPj_v-tyn_VhMSTQ_tvhgNmttlr/view?usp=sharing 